tweet_id,favorite_count,retweet_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating,stage,Date,Year,Month,Day_of_Week,Time,Hour
892420643555336193,39467,8853,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,1.3,Unidentified,2017-08-01,2017,August,Tuesday,16:23:56,16
892177421306343426,33819,6514,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,1.3,Unidentified,2017-08-01,2017,August,Tuesday,00:17:27,0
891815181378084864,25461,4328,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,1.2,Unidentified,2017-07-31,2017,July,Monday,00:18:03,0
891689557279858688,42908,8964,Paper_Towel,0.17027799999999998,False,Labrador_Retriever,0.168086,True,Spatula,0.0408359,False,1.3,Unidentified,2017-07-30,2017,July,Sunday,15:58:51,15
891327558926688256,41048,9774,Basset,0.555712,True,English_Springer,0.22577,True,German_Short-Haired_Pointer,0.175219,True,1.2,Unidentified,2017-07-29,2017,July,Saturday,16:00:24,16
891087950875897856,20562,3261,Chesapeake_Bay_Retriever,0.425595,True,Irish_Terrier,0.116317,True,Indian_Elephant,0.07690219999999999,False,1.3,Unidentified,2017-07-29,2017,July,Saturday,00:08:17,0
890971913173991426,12041,2158,Appenzeller,0.34170300000000003,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False,1.3,Unidentified,2017-07-28,2017,July,Friday,16:27:12,16
890729181411237888,56848,16716,Pomeranian,0.566142,True,Eskimo_Dog,0.17840599999999998,True,Pembroke,0.0765069,True,1.3,Unidentified,2017-07-28,2017,July,Friday,00:22:40,0
890609185150312448,28226,4429,Irish_Terrier,0.487574,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True,1.3,Unidentified,2017-07-27,2017,July,Thursday,16:25:51,16
890240255349198849,32467,7711,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,1.4,doggo,2017-07-26,2017,July,Wednesday,15:59:51,15
890006608113172480,31166,7624,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,1.3,Unidentified,2017-07-26,2017,July,Wednesday,00:31:25,0
889880896479866881,28268,5156,French_Bulldog,0.377417,True,Labrador_Retriever,0.151317,True,Muzzle,0.0829811,False,1.3,Unidentified,2017-07-25,2017,July,Tuesday,16:11:53,16
889665388333682689,38818,8538,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,1.3,puppo,2017-07-25,2017,July,Tuesday,01:55:32,1
889638837579907072,27672,4735,French_Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_Bullterrier,0.00149818,True,1.2,Unidentified,2017-07-25,2017,July,Tuesday,00:10:02,0
889531135344209921,15359,2321,Golden_Retriever,0.953442,True,Labrador_Retriever,0.0138341,True,Redbone,0.00795775,True,1.3,puppo,2017-07-24,2017,July,Monday,17:02:04,17
889278841981685760,25652,5637,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,1.3,Unidentified,2017-07-24,2017,July,Monday,00:19:32,0
888917238123831296,29611,4709,Golden_Retriever,0.714719,True,Tibetan_Mastiff,0.120184,True,Labrador_Retriever,0.105506,True,1.2,Unidentified,2017-07-23,2017,July,Sunday,00:22:39,0
888804989199671297,26080,4559,Golden_Retriever,0.46976,True,Labrador_Retriever,0.184172,True,English_Setter,0.0734817,True,1.3,Unidentified,2017-07-22,2017,July,Saturday,16:56:37,16
888554962724278272,20290,3732,Siberian_Husky,0.700377,True,Eskimo_Dog,0.166511,True,Malamute,0.111411,True,1.3,Unidentified,2017-07-22,2017,July,Saturday,00:23:06,0
888078434458587136,22201,3653,French_Bulldog,0.995026,True,Pug,0.000931908,True,Bull_Mastiff,0.000903211,True,1.2,Unidentified,2017-07-20,2017,July,Thursday,16:49:33,16
887705289381826560,30779,5609,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,1.3,Unidentified,2017-07-19,2017,July,Wednesday,16:06:48,16
887517139158093824,46959,12082,Limousine,0.130432,False,Tow_Truck,0.0291754,False,Shopping_Cart,0.0263208,False,1.4,Unidentified,2017-07-19,2017,July,Wednesday,03:39:09,3
887473957103951883,69871,18781,Pembroke,0.809197,True,Rhodesian_Ridgeback,0.05495,True,Beagle,0.0389148,True,1.3,Unidentified,2017-07-19,2017,July,Wednesday,00:47:34,0
